,torch_L40S,torch_mi250,claude-3.5-sonnet_L40S,claude-3.5-sonnet_mi250,deepseek-r1_L40S,deepseek-r1_mi250,deepseek-v3_L40S,deepseek-v3_mi250,gpt-4o_L40S,gpt-4o_mi250,llama-3.1-405b_L40S,llama-3.1-405b_mi250,llama-3.1-70b_L40S,llama-3.1-70b_mi250,openai-o1_L40S,openai-o1_mi250
33,1.25,0.921,1.2,1.01,0.816,0.606,-2.0,-2.0,-1.0,-1.0,1.2,0.978,-1.0,-1.0,1.61,2.44
34,1.25,2.02,908.0,,-2.0,-2.0,,,1.54,1.68,14.4,216.0,-2.0,-2.0,,
35,1.23,1.02,,,-2.0,-2.0,-1.0,-1.0,,,-1.0,-1.0,-2.0,-2.0,27.8,423.0
36,2.05,1.29,-1.0,-1.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,3.87,13.6,-1.0,-1.0,1.2,1.22
37,1.2,0.661,1.19,1.12,1.39,-1.0,-2.0,,1.19,77.4,1.2,78.0,1.55,77.0,101.0,314.0
38,0.0235,0.0434,-1.0,-1.0,0.0294,0.135,1.48,6.47,0.0243,0.0609,-1.0,-1.0,1.48,6.52,0.0259,0.0496
39,0.0205,0.0392,0.204,0.946,0.0247,0.0619,1.48,6.51,0.65,3.85,1.5,6.51,-2.0,,0.0279,0.053
40,6.15,4.53,-1.0,-1.0,-1.0,-2.0,-1.0,-1.0,-1.0,-1.0,83.8,1130.0,-2.0,-2.0,146.0,
41,0.0189,0.0392,0.0188,0.0382,0.0185,0.0304,0.0215,0.0434,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,0.0166,0.0358
42,0.0279,0.0806,0.0307,0.0816,0.0306,0.0794,1.13,2.58,-1.0,-1.0,0.0804,0.215,-1.0,-1.0,0.025,0.0691
43,0.934,1.51,0.904,-2.0,0.809,1.2,-2.0,-2.0,-2.0,-2.0,-1.0,-2.0,-1.0,-2.0,0.81,1.21
44,0.0162,0.0342,-1.0,-1.0,0.0233,0.0388,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0
45,0.42,0.413,0.455,0.358,0.453,0.332,-1.0,-1.0,0.453,0.343,-1.0,-1.0,-2.0,,0.426,0.324
46,0.845,1.52,-1.0,-1.0,0.969,1.55,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
47,0.0135,0.0413,0.0273,0.0665,0.0224,0.12,-1.0,-1.0,0.0228,0.123,-1.0,-1.0,-2.0,-2.0,0.0232,0.12
48,0.0139,0.0422,0.0201,0.117,-1.0,-1.0,-1.0,-1.0,0.0202,0.115,0.0227,0.121,-2.0,-2.0,0.0243,0.122
49,0.0201,0.103,0.02,-2.0,0.026,0.131,-2.0,-2.0,0.0195,0.116,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0
50,0.0139,0.05,0.0195,0.117,0.0178,0.116,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,0.0232,0.122
51,0.0188,0.0987,0.0365,-2.0,0.0192,0.114,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,-2.0,,0.0172,-1.0
52,0.0187,0.0987,0.0213,-2.0,0.019,0.0436,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
53,0.0198,0.102,0.0197,0.117,0.0193,0.112,-2.0,-2.0,0.0201,0.115,-2.0,-2.0,-1.0,-1.0,0.0232,0.123
54,4.47,6.81,-2.0,-2.0,17.3,45.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
55,0.249,0.313,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-1.0,-1.0
56,0.251,0.387,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,-2.0,,-2.0,,-1.0,-1.0
57,0.3,0.46,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,-2.0,,-2.0,-2.0,-1.0,-1.0
58,1.63,17.4,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,-2.0,,-2.0,,-1.0,-1.0
59,13.5,8.49,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
60,12.4,12.2,-2.0,-2.0,-1.0,-1.0,-2.0,-2.0,-1.0,-1.0,-2.0,,-2.0,-2.0,-1.0,-1.0
61,2.64,17.8,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,,-2.0,,-1.0,-1.0
62,0.495,0.729,-2.0,-2.0,2.36,6.54,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,
63,0.467,0.591,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
64,0.0277,0.077,-2.0,-2.0,0.0218,0.0854,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-1.0,-1.0
65,0.466,0.763,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,,-2.0,,0.465,0.766
66,52.8,49.7,-2.0,-2.0,244.0,521.0,-2.0,-2.0,-1.0,-1.0,-2.0,,-1.0,-1.0,-1.0,-1.0
67,0.0294,0.0712,-2.0,-2.0,0.0341,0.0653,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-1.0,-1.0
68,36.4,410.0,-2.0,-2.0,610.0,,-1.0,-1.0,-1.0,,-2.0,,-2.0,-1.0,-1.0,-1.0
69,0.0339,0.0921,3.24,23.7,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-1.0,-1.0
70,1.24,5.21,-2.0,-2.0,-1.0,-1.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
71,0.845,0.845,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,,-2.0,,-1.0,-1.0
72,35.9,68.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,,-2.0,-2.0,-1.0,-1.0
73,2.07,10.5,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,,-1.0,-1.0
74,0.0448,0.0905,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-1.0,-1.0
75,9.86,17.8,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,,-2.0,,-1.0,-1.0
76,0.029,0.0714,-2.0,-2.0,0.0254,0.0496,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
77,3.22,16.9,-2.0,-2.0,24.1,89.4,-1.0,-1.0,-1.0,-1.0,-2.0,,-2.0,,-1.0,-1.0
78,1.25,1.4,39.5,68.1,44.5,68.0,-1.0,-1.0,-1.0,-1.0,-2.0,,-1.0,-1.0,-1.0,-1.0
79,0.0462,0.0903,-2.0,-2.0,0.0311,0.0996,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,,
80,0.492,0.847,-2.0,-2.0,2.63,6.55,-1.0,-1.0,-1.0,-1.0,-2.0,,-2.0,,-2.0,-2.0
81,4.18,3.71,-2.0,-2.0,7.93,25.1,-1.0,-1.0,-1.0,-1.0,-2.0,,-1.0,-1.0,-1.0,-1.0
82,0.0386,0.573,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,-2.0,,-1.0,-1.0,-1.0,-1.0
83,0.0442,0.47,-2.0,-2.0,0.0373,0.0896,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
84,0.0257,0.357,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,,-2.0,,-1.0,-1.0
85,0.0338,0.345,-2.0,-2.0,0.0378,0.107,-1.0,-1.0,-1.0,-1.0,-2.0,,-1.0,-1.0,-1.0,-1.0
86,0.496,0.962,-2.0,-2.0,1.81,4.73,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
87,0.448,0.302,-1.0,-1.0,1.87,2.58,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.815,1.35
88,0.074,0.251,0.0356,0.0673,0.0179,0.0513,0.0254,0.0695,0.0805,0.0709,0.853,0.195,0.0309,0.13,0.0255,0.0672
89,0.022,0.0614,0.255,1.34,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0537,0.313
90,0.0222,0.0619,0.408,0.589,0.0228,0.0952,0.281,1.37,-1.0,-1.0,-1.0,-1.0,0.699,1.96,0.0572,0.32
91,0.0312,0.0737,0.271,0.974,0.701,1.96,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.694,1.96
92,0.044,0.0928,-2.0,-1.0,-1.0,-1.0,-2.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
93,0.0293,0.064,0.486,1.96,0.818,2.26,0.495,2.0,0.979,3.36,0.496,2.04,-1.0,-1.0,0.22,1.26
94,0.0274,0.0559,-2.0,-1.0,-2.0,-2.0,0.0293,0.0622,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-1.0,-1.0
95,0.0505,0.117,0.0263,0.0494,-1.0,-1.0,0.029,0.0593,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
96,0.0269,0.0548,0.0364,0.0671,0.0285,0.06,0.0322,0.0587,-1.0,-1.0,0.0344,0.0656,0.0308,0.0654,-1.0,-1.0
97,0.0733,0.114,-1.0,-1.0,-1.0,-1.0,0.436,2.03,0.443,1.93,0.447,1.93,0.451,1.96,-1.0,-1.0
98,0.0439,0.0911,0.648,2.63,-2.0,-1.0,0.0434,0.0842,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0493,0.0992
99,0.0595,0.098,-1.0,-1.0,0.0303,0.0551,0.691,2.85,-1.0,-1.0,0.642,1.15,-2.0,,-1.0,-1.0
100,0.0307,0.0567,-1.0,-1.0,-1.0,-1.0,0.0289,0.0589,0.0311,0.0587,-1.0,-1.0,0.0287,0.0624,-1.0,-1.0
